People,,,,
Name,URL,Description,Cost,Details
192.com,http://www.192.com/,Searching for someone's address in the UK, phone number and who they live with according to electoral rolls.,Free,📞 United Kingdom
Blackbird,https://github.com/p1ngul1n0/blackbird,Check usernames and email addresses on websites and social networks,Free,https://bellingcat.gitbook.io/toolkit/more/all-tools/
Check Usernames,https://checkusernames.com/,Check usernames on 160 social networks,Free,🗣️ Not very reliable
DiscordLeaks,https://discordleaks.unicornriot.ninja/discord/server/,Search hundreds of thousands of messages leaked from 180+ white-supremacist / nazi discord servers, by UnicornRiot,Free,https://bellingcat.gitbook.io/toolkit/more/all-tools/
Email Reputation,https://emailrep.io/,How trustworthy is an email, is it a throwaway etc.,Free,📧 
Eniro,https://www.eniro.se/,Yellow Pages (Swedish Edition),Free,📞 Sweden
Epieos,https://tools.epieos.com/holehe.php,Checks where an email has been used. Based on Holehe.,Paid,📧 Registration required
FastPeopleSearch,http://fastpeoplesearch.com/,Mostly good for US.,Free,📞🗣️ mostly United States
GetContact,https://www.getcontact.com/en/,Phonenumber ID app - draws from crowdsourced contactbooks,Free,📞 Do not give permission to your actual contact lists.
Ghunt,https://github.com/mxrch/GHunt,A command line tool for obtaining information about Google accounts.,Free,https://bellingcat.gitbook.io/toolkit/more/all-tools/
Have I Been Pwned?,https://haveibeenpwned.com/,Does an email or a phone number appear in data breaches?,Free,https://bellingcat.gitbook.io/toolkit/more/all-tools/
Hitta.se,https://www.hitta.se/,Mapping service for Sweden,Free,https://bellingcat.gitbook.io/toolkit/more/all-tools/
Intelx.io,http://intelx.io/,Find user details in data breaches,Partially Free,https://bellingcat.gitbook.io/toolkit/more/all-tools/
Maltego,https://www.maltego.com/,Maltego is an investigation platform that combines two things at once: (1) It acts as a search tool, and (2) It creates a graph establishing links between data you uncover from your search.,Partially Free,https://bellingcat.gitbook.io/toolkit/more/all-tools/
Bellingcat Name Variant Search,https://bellingcat.github.io/name-variant-search/,Simple tool to help search for different ways of writing a name.,Free,https://bellingcat.gitbook.io/toolkit/more/all-tools/
NigeriaPhonebook,https://nigeriaphonebook.com/,Look up by name, state, and phone number. Last names are partially censored for free accounts.,Free,📞🗣️ Nigeria
Person Lookup,https://personlookup.co.za/,find individuals, phonenumbers, and adresses,Free,📞🗣️ South Africa
Pipl,http://pipl.com/,Identity information for professionals,Paid,📞🗣️📧 
Rasit,https://www.ratsit.se/,Look up phone numbers/names (Sweden),Free,📞🗣️ Sweden
Search Systems,https://publicrecords.searchsystems.net/,Finding public record information online in over 70,000 databases organized by type and location to help you find property, criminal, court, birth, death, marriage, divorce records, licenses, deeds, mortgages, corporate records, business registration, and many other public record resources.,Free,📞🗣️ US
Sherlock,https://github.com/sherlock-project/sherlock,Check usernames across more than 400 websites and social networks.,Free,https://bellingcat.gitbook.io/toolkit/more/all-tools/
Skype,,You can search names, emails, and phonenumbers in Skype.,Free,📞📧 
Spokeo,http://spokeo.com/,People search through email, phone, name,Paid,📞🗣️📧 
Swedish Name Register,https://scb.se/hitta-statistik/sverige-i-siffror/namnsok/,Find out how common a name is in Sweden based on census data,Free,🗣️ Sweden
The Law Pages,https://www.thelawpages.com/court-cases/court-case-search.php?mode=1,Search criminal court case details in the UK, such as sentence, hearing, defendant, etc.,Free,🗣️ United Kingdom
ThisNumber,https://sur.ly/o/numberway.com/AA000014,An international directory of white pages and yellow pages phone books, and online directory enquiries. It's a free, independent and up-to-date guide to telephone directories on the web.,Free,📞 
TrueCaller,https://www.truecaller.com/,Truecaller is a caller ID app that identifies incoming calls, blocks unwanted numbers and gathers phone numbers and names from contact lists. It also performs reverse phone number search.,Free,
TruffleHog,https://trufflesecurity.com/trufflehog,Find leaked credentials.,Free,https://bellingcat.gitbook.io/toolkit/more/all-tools/
WAtools.io,http://watools.io/,Track whatsapp activity, number, profile picture. Check if number is used, download profile pic, check online status.,Paid,📞 
WhatsMyName,https://whatsmyname.app/,Search for usernames on several hundred platforms,Free,https://bellingcat.gitbook.io/toolkit/more/all-tools/
Worldwide Osint Tools map,https://cipher387.github.io/osintmap/,Global overview of yellow/white pages, court cases, business registries etc.,Free,📞🗣️ 
