Instagram,,,,
Name,URL,Description,Cost,Details
Bellingcat Insta Location Search,https://github.com/bellingcat/instagram-location-search,Finds Instagram location IDs near a specified latitude and longitude,Free,
InstaLoader,https://instaloader.github.io,Download pictures (or videos) along with their captions and other metadata from Instagram.,Free,
Skopenow,http://skopenow.com/,Social Media Investigations - name, phone, email, username searches,Free,
Story Saver,https://storysaver.net,Download public Instagram Stories, Highlights and Videos.,Free,
