Tiktok,,,,
Name,URL,Description,Cost,Details
Bellingcat TikTok Date Extract,https://bellingcat.github.io/tiktok-timestamp,Get the exact upload date + time for tiktok video urls,Free,Guide: [How to Investigate TikTok Like a Pro - Part II: Using TikTok for Ukraine Research](https://www.bellingcat.com/resources/how-tos/2022/11/02/how-to-investigate-tiktok-using-tiktok-ukraine-research/) 
Bellingcat TikTok Hashtag Analysis,https://github.com/bellingcat/tiktok-hashtag-analysis,Archive content and metadata from TikTok posts that contain one or more specified hashtags,Free,
Open Measures,https://openmeasures.io/,Open Measures helps open source researchers investigate harmful online activity such as extremism and disinformation.,Partially Free,https://bellingcat.gitbook.io/toolkit/more/all-tools/
Search4Faces,https://search4faces.com,Upload a facepic, find similar on VKontakte, Odnoklassniki, TikTok, Clubhouse),Free,
TikTokApi,https://pypi.org/project/TikTokApi,Python - This is an unofficial api wrapper for TikTok.com in python. With this api you are able to call most trending and fetch specific user information as well as much more.,Free,
