Twitter/X,,,,
Name,URL,Description,Cost,Details
Hoaxy,https://hoaxy.osome.iu.edu/,Hoaxy is a web-based search and visualization tool. It tracks the spread of information on Bluesky and X (Twitter).,Partially Free,https://bellingcat.gitbook.io/toolkit/more/all-tools/
Skopenow,http://skopenow.com/,Social Media Investigations - name, phone, email, username searches,Free,
Twitter/X Advanced Search,https://x.com/search-advanced,Twitter/X Advanced Search is X's own tool to help users find more precise information on the platform by filtering posts according to criteria such as location, user, date or popularity.,Free,https://bellingcat.gitbook.io/toolkit/more/all-tools/
Twitter/X Location Search,https://twitter.com/explore,Search for geocoded tweets by their distance from some coordinates.,Free,https://bellingcat.gitbook.io/toolkit/more/all-tools/
Twitter Video Downloader,https://twittervideodownloader.com/,A brief one-line description.,Free,https://bellingcat.gitbook.io/toolkit/more/all-tools/
